scenario,attack,dimension,scope,samples,members,nonmembers,suppressed,threshold,threshold_source,auc_roc,auc_ci_low,auc_ci_high,auc_pr,tpr_at_0_1_fpr,tpr_at_1_fpr,tpr_at_5_fpr,fpr_at_90_tpr,fpr_at_95_tpr,fpr_at_99_tpr,accuracy,balanced_accuracy,majority_class_accuracy,precision,recall,f1,mcc,attack_advantage,brier,ece,mean_loss,perplexity,pld_auc_roc,macro_auc_roc,worst_group_auc_roc,max_pairwise_gap,disparity_ratio
finetuning,reference,variety,portugal,4737,2350,2387,False,0.05758067,calibration,0.518563,0.48991,0.54132,0.521143,0.00383,0.021702,0.075745,0.888982,0.940092,0.98827,0.514461,0.515519,0.503905,0.508306,0.651064,0.570896,0.032243,0.037126,0.324086,0.24087,3.543615,37.57006,,,,,
finetuning,reference,variety,spain,1621,789,832,False,0.10292703,calibration,0.52356,0.489707,0.558698,0.512593,0.002535,0.021546,0.054499,0.890625,0.94351,0.987981,0.518199,0.507199,0.513263,0.528986,0.092522,0.157497,0.025785,0.04712,0.321657,0.228871,3.469113,34.984168,,,,,
finetuning,reference,variety,united states,1802,914,888,False,0.00352442,calibration,0.524074,0.489704,0.548783,0.543814,0.007659,0.0186,0.06674,0.906532,0.953829,0.992117,0.50333,0.498013,0.507214,0.50607,0.866521,0.638967,-0.00588,0.048147,0.321385,0.23682,3.654187,43.684162,,,,,
finetuning,reference,variety,venezuela,1568,763,805,False,0.03751583,calibration,0.515422,0.489596,0.538174,0.521685,0.007864,0.024902,0.073394,0.895652,0.946584,0.987578,0.498724,0.501373,0.513393,0.487753,0.600262,0.53819,0.002801,0.030844,0.325729,0.243144,3.320142,31.8127,,,,,
finetuning,reference,gender_language,G0|ar,5189,2595,2594,False,0.0339018,calibration,0.505426,0.482636,0.528795,0.508304,0.002312,0.012331,0.057418,0.905937,0.9468,0.994988,0.504336,0.504321,0.500096,0.50383,0.583044,0.54055,0.008751,0.010852,0.330652,0.247254,3.244213,36.184618,,,,,
finetuning,reference,gender_language,G0|en,5146,2580,2566,False,0.06243096,calibration,0.501238,0.483569,0.516948,0.511512,0.003101,0.00969,0.057752,0.913874,0.961808,0.992985,0.501166,0.501401,0.50136,0.503053,0.415116,0.454874,0.002844,0.002476,0.332747,0.253158,3.655128,43.695845,,,,,
finetuning,reference,gender_language,G0|es,5157,2587,2570,False,0.15032943,calibration,0.507932,0.487861,0.522951,0.51838,0.003865,0.019327,0.068419,0.90856,0.951362,0.987549,0.50223,0.503818,0.501648,0.606383,0.022033,0.042521,0.028542,0.015863,0.329399,0.241807,3.452106,35.165848,,,,,
finetuning,reference,gender_language,G0|pt,5160,2575,2585,False,0.08217318,calibration,0.515995,0.492962,0.542148,0.521601,0.001942,0.017864,0.064854,0.895938,0.955513,0.994197,0.510659,0.510403,0.500969,0.513172,0.378252,0.435502,0.021573,0.031991,0.325366,0.247917,3.485077,35.910307,,,,,
finetuning,reference,gender_language,G1|ar,5126,2568,2558,False,0.28671165,calibration,0.497798,0.469926,0.518495,0.496571,0.000779,0.007788,0.051012,0.89484,0.952697,0.990227,0.49961,0.500575,0.500975,0.555556,0.005841,0.011561,0.007943,-0.004404,0.334467,0.248098,3.173198,33.495202,,,,,
finetuning,reference,gender_language,G1|en,5184,2599,2585,False,0.06049377,calibration,0.506077,0.489069,0.524423,0.512148,0.002309,0.015775,0.054636,0.894004,0.94352,0.988395,0.500386,0.500642,0.50135,0.502142,0.405925,0.448936,0.001307,0.012153,0.330327,0.245612,3.715258,45.717827,,,,,
finetuning,reference,gender_language,G1|es,5133,2560,2573,False,0.09470276,calibration,0.537328,0.516513,0.555548,0.539659,0.007812,0.019531,0.073047,0.874077,0.938204,0.983288,0.515878,0.514993,0.501266,0.548512,0.165625,0.254425,0.04192,0.074657,0.314698,0.222482,3.483179,36.187972,,,,,
finetuning,reference,gender_language,G1|pt,5129,2548,2581,False,-0.00114152,calibration,0.486561,0.465571,0.506027,0.492848,0.001177,0.012166,0.05416,0.910112,0.948082,0.985664,0.493663,0.496341,0.503217,0.494786,0.91248,0.641645,-0.013203,-0.026877,0.340086,0.258335,3.499822,36.739372,,,,,
finetuning,reference,language_summary,summary:language,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.507195,0.501153,0.021432,0.958988
finetuning,reference,variety_summary,summary:variety,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.508934,0.474683,0.069188,0.872786
finetuning,reference,gender_language_summary,summary:gender_language,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.507294,0.486561,0.050767,0.905519
finetuning,reference,gender_gap,gap:G0-G1,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.001358,0.50648,0.5058,0.001358,0.997321
